[cited 2018 20 March].
Abstracts of Papers, 221st ACS National Meeting, San Diego, CA, United States, April 1-5, 2001
Abstracts of Papers, 222nd ACS National Meeting, Chicago, IL, United States, August 26-30, 2001
Abstracts of Papers, 225th ACS National Meeting, New Orleans, LA, United States, March 23-27, 2003
Abstracts of Papers, 230th ACS National Meeting, Washington, DC, United States, Aug. 28-Sept. 1, 2005
Chemia Analityczna	Chem. Anal. (Warsaw)	Chem Anal (Warsaw)
Chemical and Biochemical Engineering Quarterly	Chem. Biochem. Eng. Q.	Chem Biochem Eng Q
Chemical and Engineering News	Chem. Eng. News	Chem Eng News
Chemical and Pharmaceutical Bulletin	Chem. Pharm. Bull.	Chem Pharm Bull
Chemical Communications (Cambridge)
Chemical Communications	Chem. Commun.	Chem Commun
Chemical Engineer (London)	Chem. Eng. (London)	Chem Eng (London)
Chemical Engineering (New York)	Chem. Eng. (New York)	Chem Eng (New York)
Chemical Engineering and Processing	Chem. Eng. Process.	Chem Eng Process
Chemical Engineering and Technology	Chem. Eng. Technol.	Chem Eng Technol
Chemical Engineering Communications	Chem. Eng. Commun.	Chem Eng Commun
Chemical Engineering Journal	Chem. Eng. J.	Chem Eng J
Chemical Engineering Progress	Chem. Eng. Prog.	Chem Eng Prog
Chemical Engineering Research and Design	Chem. Eng. Res. Des.	Chem Eng Res Des
Chemical Engineering Science	Chem. Eng. Sci.	Chem Eng Sci
Chemical Fibers International	Chem. Fibers Int.	Chem Fibers Int
Chemical Geology	Chem. Geol.	Chem Geol
Chemical Papers - Chemicke Zvesti	Chem. Pap. - Chem. Zvesti	Chem Pap - Chem Zvesti
Chemical Physics Letters	Chem. Phys. Lett.	Chem Phys Lett
Chemical Physics	Chem. Phys.	Chem Phys
Chemical Processing	Chem. Process.	Chem Process
